Time (min),Mean Intensity (A.U.),Protein Concentration (nanograms per microliter),Protein Concentration (nM),Number of Protein Molecules,Rate of Change of Number of Protein Molecules (PM per min)
474.0,81.52734565734863,2.9743311783310245,32.938329771107696,39525995725.32923,49374570.05048561
476.0,81.92824101448059,2.988956891339973,33.1002977999997,39720357359.99964,98268373.11515808
478.0,82.33810925483704,3.0039099586386873,33.265891014824895,39919069217.78986,74115503.20394516
480.0,82.53973126411438,3.0112656578043606,33.34734947734618,40016819372.81542,61864715.44381142
482.0,82.84852433204651,3.0225312379872746,33.472106732970936,40166528079.56511,76951817.46880531
484.0,83.17462253570557,3.034428154862471,33.60385553557553,40324626642.69064,102927885.71318626
486.0,83.69773125648499,3.0535125315869434,33.815199685348205,40578239622.417854,110912570.84973717
488.0,84.08970713615417,3.067812838688242,33.97356410507467,40768276926.08959,73961306.3754139
490.0,84.30794930458069,3.0757748848059427,34.061737373266254,40874084847.91951,39525941.16693115
492.0,84.41581606864929,3.079710146979488,34.10531724229776,40926380690.75732,59954362.38147545
494.0,84.80260300636292,3.093821147882767,34.26158524787118,41113902297.44541,73334260.46418
496.0,85.02086067199707,3.1017837593792064,34.349764777178365,41219717732.61404,-14861008.324386597
498.0,84.67999219894409,3.089347984377127,34.212048553456555,41054458264.147865,174225106.6652012
500.0,86.4583055973053,3.154225516485432,34.93051513272903,41916618159.27484,89452221.45923424
502.0,85.41801810264587,3.1162731030363564,34.510222624987335,41412267149.9848,265864345.43646812
504.0,88.65182042121887,3.234250684461809,35.81672961751727,42980075541.02071,113758045.60834694
506.0,86.35657930374146,3.1505142747644688,34.88941611034849,41867299332.41819,-259313898.8669548
508.0,86.51235008239746,3.1561972009028554,34.95234995462742,41942819945.552895,85942654.25000763
510.0,87.06564950942993,3.176383013693721,35.175891624515174,42211069949.41822,122290077.47076607
512.0,87.52130484580994,3.193006514221556,35.35998354619663,42431980255.43596,120437952.78351974
514.0,88.05932331085205,3.2126348374815605,35.5773514671269,42692821760.5523,109911707.43964767
516.0,88.42813181877136,3.22608993816089,35.726355904328784,42871627085.19455,71045813.07940865
518.0,88.64548707008362,3.2340196272184625,35.81417084405827,42977005012.869934,82813146.3902626
520.0,89.11138200759888,3.2510166952243593,36.00239972562967,43202879670.7556,85605594.31597328
522.0,89.35177636146545,3.2597869111075704,36.09952282511152,43319427390.13383,116188870.76189232
524.0,90.0699987411499,3.2859895453236887,36.38969596150264,43667635153.80317,143692342.97345543
526.0,90.53731060028076,3.303038306342581,36.57849730168971,43894196762.02765,87887135.20861435
528.0,90.79511189460754,3.3124435730214814,36.68265307886469,44019183694.63763,118183142.0382576
530.0,91.51238107681274,3.3386114320960965,36.972441108483906,44366929330.18068,137441302.95200157
532.0,91.92907190322876,3.3538134052100337,37.14079075537137,44568948906.44563,108251086.19743729
534.0,92.40550708770752,3.3711950090415246,37.33327806247536,44799933674.97043,94328667.2641182
536.0,92.70733094215393,3.382206334056533,37.45521964625175,44946263575.502106,95979145.49905586
538.0,93.19738340377808,3.4000847318367406,37.65320854747222,45183850256.96665,104160997.98213768
540.0,93.56671166419983,3.4135587944491568,37.80242297285889,45362907567.43066,98186275.44089699
542.0,94.00746965408325,3.4296388007444505,37.98049613227519,45576595358.73024,108171704.88409424
544.0,94.45918273925781,3.4461184776192693,38.162995322472526,45795594386.96703,142696334.33608437
546.0,95.18478631973267,3.4725903973796117,38.45615058006214,46147380696.07458,161826739.59410477
548.0,95.79433488845825,3.4948283262370947,38.70241778778622,46442901345.34345,106896402.32847404
550.0,96.06673550605774,3.5047662144804828,38.81247192115707,46574966305.38847,100815597.22397423
552.0,96.62611436843872,3.5251738210015113,39.038469778532786,46846163734.23935,122246326.72143936
554.0,97.07532930374146,3.541562358823636,39.2199596768952,47063951612.27423,99239674.42712212
556.0,97.44489169120789,3.555044963004075,39.36926869328987,47243122431.94784,64495135.33024597
558.0,97.60744667053223,3.56097539455804,39.434943461329354,47321932153.595215,87685199.7817421
560.0,98.16833877563477,3.5814382081383793,39.66155269256234,47593863231.07481,120953483.4096508
562.0,98.60537385940552,3.5973823930643447,39.83812173936151,47805746087.23382,96008967.6742897
564.0,98.96046113967896,3.6103369074083402,39.98158258480997,47977899101.771965,122457567.12934113
566.0,99.61571049690247,3.6342421207702764,40.24631362979265,48295576355.75118,105558045.5225048
568.0,99.83136820793152,3.6421098791106146,40.33344273655166,48400131283.861984,90504031.08534622
570.0,100.36241436004639,3.6614838341269658,40.547993733410465,48657592480.09257,110267464.02811813
572.0,100.74113035202026,3.675300385783078,40.701000949978706,48841201139.97446,121694789.86436272
574.0,101.36645770072937,3.698113965876139,40.95364303295834,49144371639.55002,127497803.71835518
576.0,101.79305148124695,3.713677224702303,41.12599362903991,49351192354.84788,106891374.17102242
578.0,102.24836540222168,3.730288269501617,41.309947613528436,49571937136.23411,84710640.0844059
580.0,102.49195694923401,3.739175127367709,41.40836242932126,49690034915.1855,81279298.29024887
582.0,102.91896057128906,3.754753338286982,41.58087860782926,49897054329.3951,102771117.01101112
584.0,103.33987045288086,3.7701092335880237,41.75093281935797,50101119383.229546,95145193.79841614
586.0,103.70395636558533,3.783392041620305,41.89802925382398,50277635104.58877,88857945.26381493
588.0,104.07299327850342,3.7968554751124315,42.04712597023733,50456551164.284805,92136275.02515602
590.0,104.46412706375122,3.8111250604028766,42.205150170574484,50646180204.68939,117856051.72675514
592.0,105.04536509513855,3.832330146682185,42.439979475993184,50927975371.191826,86009378.47734451
594.0,105.17374777793884,3.8370138833245577,42.49184809883231,50990217718.59877,55148281.88346863
596.0,105.5003662109375,3.8489297795291093,42.623807082271426,51148568498.7257,78080234.25242043
598.0,105.81794905662537,3.860516033834536,42.75211554634039,51302538655.60845,75965402.78702736
600.0,106.12711906433105,3.8717953657680044,42.87702509156152,51452430109.87381,73795319.3845787
602.0,106.42679762840271,3.882728424969294,42.99809994428898,51597719933.14677,98699869.93743324
604.0,106.9414427280426,3.9015040266191714,43.206024658019615,51847229589.62354,131382546.60690498
606.0,107.51076984405518,3.9222745714979728,43.43604176631199,52123250119.57439,113435463.30007744
608.0,107.87734246253967,3.9356481010724953,43.584142869019885,52300971442.82385,94506444.4172535
610.0,108.29049563407898,3.9507210112675657,43.75106324770283,52501275897.2434,92678709.1833992
