Time (min),Mean Intensity (A.U.),Protein Concentration (ng/µL),Protein Concentration (nM),Number of Protein Molecules,Rate of Change of Number of Protein Molecules (PM/min)
372,33.24145221710205,-2.351307934393676,-293.9134917992095,-176348095079.5257,288260714.1402572
375,33.423195600509644,-2.344677459583463,-293.0846824479329,-175850809468.75974,296380056.6907184
378,33.94414567947388,-2.325671835768239,-290.70897947102986,-174425387682.61792,303216414.7815911
381,34.31754112243652,-2.3120493916803584,-289.0061739600448,-173403704376.0269,302879067.5841989
384,34.62407112121582,-2.300866374189578,-287.6082967736973,-172564978064.21835,296924119.48400706
387,34.92837643623352,-2.289764518991286,-286.22056487391075,-171732338924.34644,292107107.089158
390,35.15997004508972,-2.2813153773447725,-285.16442216809656,-171098653300.85794,292691546.3706026
393,35.51016902923584,-2.268539200851263,-283.56740010640783,-170140440063.84473,296264790.4159713
396,35.860517740249634,-2.255757561929323,-281.9696952411654,-169181817144.69922,296876350.78173023
399,36.28057026863098,-2.2404329451197382,-280.05411813996733,-168032470883.98038,291389277.919921
402,36.56128287315369,-2.2301918138152614,-278.77397672690773,-167264386036.1446,282391726.87090683
405,36.7684223651886,-2.222634822422306,-277.82935280278826,-166697611681.67294,275579812.4712995
408,37.17720675468445,-2.20772129684277,-275.9651621053463,-165579097263.20776,275207147.13975793
411,37.34823966026306,-2.2014815683261437,-275.18519604076795,-165111117624.4608,281460346.4847061
414,37.6602509021759,-2.190098580724517,-273.7623225905646,-164257393554.33875,290744232.75933313
417,38.07257080078125,-2.1750560705093247,-271.8820088136656,-163129205288.19934,298405039.8313156
420,38.443989992141724,-2.161505725257843,-270.1882156572304,-162112929394.33823,302052245.66546106
423,38.63417148590088,-2.154567406073421,-269.3209257591776,-161592555455.50656,302532533.56455255
426,39.130677461624146,-2.1364535671901077,-267.05669589876345,-160234017539.25806,302272381.1042073
429,39.35532236099243,-2.128257932671938,-266.03224158399223,-159619344950.39536,303364833.7794023
432,39.6911940574646,-2.116004453171516,-264.5005566464395,-158700333987.8637,306422452.4234567
435,40.039539098739624,-2.103295913371436,-262.91198917142947,-157747193502.8577,310090324.527909
438,40.38556218147278,-2.090672084702697,-261.3340105878371,-156800406352.70227,311861776.2891125
441,40.76592230796814,-2.0767955507114655,-259.59944383893315,-155759666303.3599,310010205.82581186
444,41.09361028671265,-2.064840634675803,-258.10507933447536,-154863047600.6852,304833669.4993576
447,41.42625164985657,-2.0527050061989502,-256.5881257748688,-153952875464.9213,298190497.32198673
450,41.741119623184204,-2.0412177975504266,-255.15222469380333,-153091334816.282,292429985.61380166
453,42.04730200767517,-2.030047461939664,-253.75593274245801,-152253559645.47482,289959399.7199747
456,42.393911838531494,-2.0174022271620604,-252.1752783952576,-151305167037.15454,292725653.0121808
459,42.630396127700806,-2.008774660683716,-251.09683258546454,-150658099551.2787,300506826.9136198
462,42.913254737854004,-1.998455237471117,-249.80690468388963,-149884142810.33377,309717601.30358934
465,43.461650133132935,-1.978448336607612,-247.3060420759515,-148383625245.5709,315635556.06261635
468,43.691940784454346,-1.97004673026583,-246.25584128322873,-147753504769.93726,316534842.1836977
471,44.10657811164856,-1.954919674183851,-244.36495927298134,-146618975563.78882,314625784.1195689
474,44.377840757369995,-1.94502330213616,-243.12791276702004,-145876747660.212,312777514.70533043
477,44.73847413063049,-1.931866451788749,-241.48330647359364,-144889983884.15616,311655923.65501034
480,45.095792293548584,-1.9188305490007689,-239.85381862509612,-143912291175.05765,310739167.5395279
483,45.47588872909546,-1.9049636351462313,-238.12045439327892,-142872272635.96735,311038779.56742036
486,45.75890922546387,-1.8946383059003453,-236.82978823754317,-142097872942.5259,314942636.61632067
489,46.04196119308472,-1.8843118285007128,-235.5389785625891,-141323387137.55347,322697840.5449984
492,46.434852600097656,-1.869978120563153,-233.74726507039412,-140248359042.23648,330497793.7156172
495,46.871832847595215,-1.8540359362081096,-231.7544920260137,-139052695215.60822,333600061.4975808
498,47.29390335083008,-1.8386376983885988,-229.82971229857486,-137897827379.1449,330686052.776401
501,47.52134871482849,-1.8303398955832604,-228.79248694790755,-137275492168.74454,323785368.1052075
504,47.95022702217102,-1.814693291232862,-226.83666140410776,-136101996842.46465,315131669.39917386
507,48.28286647796631,-1.802557732341085,-225.31971654263563,-135191829925.58138,306724362.19260705
510,48.673681020736694,-1.7882997938526588,-223.53747423158237,-134122484538.9494,302440506.6134137
513,48.903987646102905,-1.7798976047358692,-222.48720059198365,-133492320355.19019,306594007.7699761
516,49.11683487892151,-1.7721323800043465,-221.51654750054334,-132909928500.32599,318175910.6727598
519,49.55016779899597,-1.7563232597100134,-219.54040746375168,-131724244478.251,329071391.98627895
522,50.09272646903992,-1.7365292978758091,-217.06616223447617,-130239697340.68568,331336766.47267133
525,50.431724071502686,-1.7241617771347044,-215.52022214183808,-129312133285.10283,325685722.71287155
528,50.701451778411865,-1.714321403676558,-214.29017545956972,-128574105275.74184,320409259.4960231
531,50.972694873809814,-1.7044257448758913,-213.0532181094864,-127831930865.69185,322440391.8829696
534,51.393115758895874,-1.689087689448592,-211.135961181074,-126681576708.64441,331440585.9731965
537,51.739434480667114,-1.6764530750931437,-209.55663438664297,-125733980631.98578,341748794.37485355
540,52.148113489151,-1.6615433940890318,-207.692924261129,-124615754556.67738,347723060.95638084
543,52.53846764564514,-1.647302251698215,-205.91278146227688,-123547668877.36612,347429474.58136237
546,53.03423547744751,-1.629215342239138,-203.65191777989227,-122191150667.93535,343229091.5241762
549,53.22825741767883,-1.6221369135051062,-202.7671141881383,-121660268512.88297,339335106.24162996
552,53.64775991439819,-1.6068323632916819,-200.85404541146025,-120512427246.87614,338205017.148805
555,54.07422971725464,-1.5912736274954273,-198.9092034369284,-119345522062.15704,339071274.47477007
558,54.365087270736694,-1.5806623818722627,-197.58279773403285,-118549678640.41971,339349309.91078395
561,54.781713008880615,-1.5654627833490284,-195.68284791862857,-117409708751.17714,337014195.7114629
564,55.19027066230774,-1.5505575296953482,-193.81969121191852,-116291814727.15111,332689150.5412709
567,55.57768964767456,-1.5364234700376602,-192.05293375470754,-115231760252.82451,330033846.20435584
570,55.791175842285156,-1.52863493430583,-191.07936678822875,-114647620072.93726,332693356.78086543
573,56.17516374588013,-1.5146260495009125,-189.32825618761404,-113596953712.56844,340195749.63987505
576,56.61690402030945,-1.498510206891713,-187.31377586146414,-112388265516.87848,348200296.3710946
579,57.02040457725525,-1.4837894493677048,-185.47368117096312,-111284208702.57787,353313054.17165196
582,57.39659237861633,-1.4700651327292271,-183.7581415911534,-110254884954.69203,356454325.01361823
585,57.7859525680542,-1.4558602528609037,-181.98253160761297,-109189518964.56778,360876408.32411313
588,58.11456227302551,-1.443871709837484,-180.4839637296855,-108290378237.8113,367651242.77859664
591,58.57478928565979,-1.4270814225817023,-178.3851778227128,-107031106693.62767,373865422.8830346
594,58.97718381881714,-1.4124010157033757,-176.55012696292198,-105930076177.75317,376653791.2316598
597,59.50848436355591,-1.393017779777574,-174.12722247219673,-104476333483.31805,381594662.2179085
600,59.841986417770386,-1.3808507510353822,-172.60634387942278,-103563806327.65367,408659720.10413945
603,60.23815584182739,-1.3663974524473643,-170.79968155592053,-102479808933.55232,485520567.10875225
606,60.363709688186646,-1.361816919170159,-170.22711489626988,-102136268937.76192,621357694.181674
609,61.06942534446716,-1.3360705629925211,-167.00882037406512,-100205292224.43907,774310814.8000846
612,61.409926414489746,-1.3236481918156184,-165.4560239769523,-99273614386.17137,850390681.8762708
615,64.85371470451355,-1.1980097719700948,-149.75122149626188,-89850732897.75711,760067327.026616
618,65.45187067985535,-1.17618747476884,-147.02343434610498,-88214060607.66298,498042848.9172405
621,65.7909095287323,-1.1638184492504764,-145.47730615630954,-87286383693.78574,169020490.4230463
624,65.84170174598694,-1.1619654160849913,-145.24567701062392,-87147406206.37434,-76283447.96400456
627,63.12953209877014,-1.2609124709363084,-157.61405886703855,-94568435320.22313,-144945345.55251488
630,63.646782636642456,-1.2420418160732376,-155.2552270091547,-93153136205.49281,-55708971.42100409
633,64.0849769115448,-1.22605534081761,-153.25691760220124,-91954150561.32076,99173841.90354523
636,64.44160580635071,-1.213044584336305,-151.63057304203812,-90978343825.22287,235199349.67624208
639,64.6694176197052,-1.2047334124983275,-150.59167656229093,-90355005937.37456,319604707.5983443
642,65.27585816383362,-1.1826088725214443,-147.82610906518056,-88695665439.10832,359092564.57556266
645,65.65998268127441,-1.168595003685491,-146.07437546068638,-87644625276.41183,371574956.30090654
648,66.1018419265747,-1.1524748207072044,-144.05935258840054,-86435611553.04033,372097802.63404197
651,66.46063423156738,-1.1393851373539627,-142.42314216924535,-85453885301.54721,369687374.43852574
654,66.7761447429657,-1.1278744872331148,-140.98431090413936,-84590586542.48361,366369908.88432336
657,67.35048627853394,-1.106921003190707,-138.3651253988384,-83019075239.30302,359495699.6732925
660,67.68099617958069,-1.094863136035776,-136.85789200447198,-82114735202.68318,347930294.37043464
663,68.08163976669312,-1.0802466082567992,-135.03082603209992,-81018495619.25993,336718008.05125904
666,68.50077629089355,-1.064955409679745,-133.11942620996814,-79871655725.98087,334453435.3608341
669,68.56020832061768,-1.0627871735183114,-132.84839668978893,-79709038013.87335,344266558.8439221
672,69.0068907737732,-1.0464910272802412,-130.81137841003016,-78486827046.0181,358086945.3783728
675,69.62208580970764,-1.0240471005047427,-128.00588756309284,-76803532537.8557,363119596.9771335
678,70.07649183273315,-1.007469178201389,-125.93364727517361,-75560188365.10417,355456800.5783399
681,70.39951348304749,-0.995684502053046,-124.46056275663075,-74676337653.97845,345157625.1148275
684,70.64319777488708,-0.9867942606126551,-123.34928257658191,-74009569545.94913,346369294.23034626
687,70.97999215126038,-0.9745071193319388,-121.81338991649237,-73088033949.8954,363211733.22531253
690,71.30433320999146,-0.962674307707588,-120.3342884634485,-72200573078.06909,385606262.6878058
693,72.00870943069458,-0.9369768176492514,-117.12210220615643,-70273261323.69386,398086206.3557353
696,72.39940023422241,-0.9227233934926012,-115.34042418657515,-69204254511.9451,392688949.7197287
699,72.94753575325012,-0.902725973595639,-112.84074669945488,-67704448019.67292,374603807.2694043
702,73.24634099006653,-0.8918247756608144,-111.47809695760182,-66886858174.56108,356637907.8462513
705,73.48297095298767,-0.8831918946223253,-110.39898682779067,-66239392096.6744,348412191.15757424
708,73.9627754688263,-0.8656873687548846,-108.21092109436059,-64926552656.61634,349849830.6791239
711,74.26014018058777,-0.8548387249483651,-106.85484061854564,-64112904371.12738,353530013.3286838
714,74.79352164268494,-0.8353795717051441,-104.42244646314302,-62653467877.8858,352698145.99170774
717,75.14257526397705,-0.822645181049499,-102.83064763118739,-61698388578.71243,347711819.1571162
720,75.6070020198822,-0.8057016761555026,-100.71270951943782,-60427625711.6627,345038754.44252837
723,75.73154711723328,-0.8011579446851259,-100.14474308564074,-60086845851.384445,349270647.9408386
726,76.11617159843445,-0.7871258358612454,-98.39072948265567,-59034437689.59341,357332518.4920523
729,76.76221489906311,-0.7635564835645597,-95.44456044556998,-57266736267.34199,363191885.6127906
732,77.19113111495972,-0.7479084962107847,-93.48856202634809,-56093137215.80885,366554393.93451494
735,77.31705951690674,-0.7433142981643693,-92.91428727054617,-55748572362.327705,371885880.36958414
738,77.71681833267212,-0.7287300491623109,-91.09125614528885,-54654753687.17331,379356400.62750924
741,78.4324791431427,-0.7026208677026489,-87.82760846283112,-52696565077.69866,382442384.60216427
744,78.71021366119385,-0.6924883847955005,-86.56104809943756,-51936628859.66253,375669648.67249364
747,79.12963795661926,-0.6771866875701733,-84.64833594627166,-50789001567.763,361535448.7186187
750,79.66449761390686,-0.6576736058934052,-82.20920073667565,-49325520442.005394,349492515.3117156
753,79.83317947387695,-0.651519649680522,-81.43995621006525,-48863973726.03915,349068239.91685474
756,80.10059237480164,-0.6417637264096835,-80.22046580121044,-48132279480.72626,362108750.3311801
759,80.6189558506012,-0.6228524686550322,-77.85655858187903,-46713935149.12741,380514459.6639976
762,81.0913474559784,-0.6056183851836957,-75.70229814796197,-45421378888.777176,392744378.145592
765,81.6205825805664,-0.5863105011965744,-73.2888126495718,-43973287589.74308,392974875.9121902
768,81.95665955543518,-0.5740495326023973,-71.75619157529967,-43053714945.179794,384071757.9567378
771,82.45799207687378,-0.5557596086854186,-69.46995108567734,-41681970651.406395,373465310.9984395
774,82.7849805355072,-0.5438302129762118,-67.97877662202647,-40787265973.21588,367287067.4537586
777,83.10506224632263,-0.5321527935236866,-66.51909919046082,-39911459514.27649,367082743.0792208
780,83.59592914581299,-0.5142446829162214,-64.28058536452767,-38568351218.7166,370422460.3718979
783,84.03005123138428,-0.4984067717968817,-62.30084647461021,-37380507884.76613,373961514.9176712
786,84.34546637535095,-0.48689960092981094,-60.86245011622636,-36517470069.73582,375314820.6537896
789,84.8638756275177,-0.4679866731333465,-58.498334141668316,-35099000485.00099,372555240.6291902
792,85.18929123878479,-0.4561146590170608,-57.0143323771326,-34208599426.27956,364710650.48158574
795,85.71991682052612,-0.43675604750986735,-54.59450593873342,-32756703563.24005,354627294.58715963
798,86.13468885421753,-0.42162407698192805,-52.70300962274101,-31621805773.644604,349110149.54973805
801,86.16381096839905,-0.42056162595410906,-52.57020324426364,-31542121946.558178,352681251.432726
804,86.71205615997314,-0.4005602049153031,-50.070025614412884,-30042015368.64773,361668715.02439857
807,87.28006935119629,-0.3798375954554179,-47.47969943192724,-28487819659.156345,367536363.24125314
810,87.54607200622559,-0.3701331216498101,-46.26664020622626,-27759984123.735756,366108303.41525275
813,88.05186128616333,-0.3516806035056869,-43.960075438210865,-26376045262.92652,361441142.4945435
816,88.4169352054596,-0.33836175040427346,-42.29521880053419,-25377131280.32051,360647884.7106829
819,88.63073062896729,-0.3305619331920705,-41.32024164900881,-24792144989.40529,366111447.9630925
822,89.10551929473877,-0.3132403986770433,-39.15504983463041,-23493029900.778248,373328942.31514937
825,89.72706937789917,-0.29056462312796427,-36.32057789099553,-21792346734.59732,376602327.8064007
828,89.94717001914978,-0.2825347750522796,-35.31684688153495,-21190108128.920967,375590751.7972866
831,90.51354241371155,-0.2618720261536317,-32.73400326920396,-19640401961.522377,374466993.38252896
834,90.65514397621155,-0.256706030145197,-32.08825376814962,-19252952260.889774,375695110.4877401
837,91.28575372695923,-0.23369973418541534,-29.212466773176917,-17527480063.90615,377388911.6972619
840,91.73599076271057,-0.21727390746093334,-27.159238432616668,-16295543059.57,376845263.54505545
843,91.96538996696472,-0.20890482344383401,-26.113102930479254,-15667861758.28755,374284255.29652774
846,92.54526400566101,-0.18774949919167444,-23.468687398959307,-14081212439.375584,372647704.5757406
849,92.91829442977905,-0.1741403719476265,-21.767546493453313,-13060527896.071987,375170715.9949368
852,93.12557554244995,-0.16657821386281182,-20.822276732851478,-12493366039.710886,382878208.48876756
855,93.83112955093384,-0.1408377550203265,-17.604719377540814,-10562831626.524488,393157273.42166007
858,93.95776462554932,-0.13621777570342178,-17.027221962927722,-10216333177.756634,401097880.6325575
861,94.77862787246704,-0.10627053372261584,-13.283816715326981,-7970290029.196189,403160874.1254964
864,94.98554491996765,-0.09872165768909576,-12.34020721113697,-7404124326.682181,399589367.08707
867,95.50853276252747,-0.07964169091878645,-9.955211364848306,-5973126818.908983,393263291.29159784
870,95.89964818954468,-0.06537277538469302,-8.171596923086629,-4902958153.851976,386878955.47299325
873,96.3975739479065,-0.0472071391107715,-5.900892388846437,-3540535433.3078623,381299918.31654525
876,96.62512755393982,-0.03890538735239609,-4.863173419049511,-2917904051.429707,375425413.4475979
879,97.27518129348755,-0.015189723736243393,-1.8987154670304243,-1139229280.2182543,367441627.220952
882,97.50739645957947,-0.006717906053236861,-0.8397382566546077,-503842953.9927646,357686393.59113884
885,98.02288603782654,0.012088504388837556,1.5110630486046945,906637829.1628166,350858006.371507
888,98.33628511428833,0.023522123831057618,2.9402654788822025,1764159287.3293214,353632815.73295426
891,98.5649061203003,0.0318628171373347,3.982852142166837,2389711285.3001027,367694707.17604923
894,98.97005987167358,0.046643887525571186,5.830485940696398,3498291564.417839,385532873.263968
897,99.59137606620789,0.06931113020476155,8.663891275595192,5198334765.357116,396410358.365289
900,100.116854429245,0.0884819576874633,11.060244710932912,6636146826.559747,397408989.9525465
903,100.49889135360718,0.10241966565823307,12.802458207279134,7681474924.36748,395406674.5944618
906,100.61855578422546,0.10678533761842544,13.34816720230318,8008900321.381908,397238243.6201091
909,101.3294050693512,0.13271898202689159,16.58987275336145,9953923652.016869,402077217.60946596
912,101.86731457710266,0.15234333023945557,19.042916279931944,11425749767.959167,405080878.38560146
915,102.07685995101929,0.15998809450707618,19.998511813384525,11999107088.030712,403666036.7033968
918,102.62527227401733,0.1799956129381268,22.49945161726585,13499670970.35951,397638444.43416196
921,103.1614363193512,0.199556282108433,24.944535263554123,14966721158.132475,387507614.6837657
924,103.4678418636322,0.21073475917303414,26.341844896629265,15805106937.97756,375723728.40635866
927,103.96012234687805,0.2286944410196124,28.586805127451548,17152083076.47093,367135570.41961837
930,104.20896553993225,0.23777289269308272,29.72161158663534,17832966951.981205,365750183.08603287
933,104.6578917503357,0.2541508970743967,31.76886213429959,19061317280.579754,371621742.0898908
936,105.03744268417358,0.26799790959732844,33.49973869966606,20099843219.799633,381865905.7814695
939,105.5613648891449,0.2871119643565202,35.88899554456503,21533397326.739017,393667652.23724556
942,105.91971182823181,0.3001853995946221,37.52317494932776,22513904969.596657,404495347.7826756
945,106.23242497444153,0.31159399450404945,38.94924931300618,23369549587.80371,410338228.538722
948,107.03018069267273,0.34069821329463196,42.587276661828994,25552365997.097397,407342475.4508237
951,107.37056708335876,0.3531164006688677,44.13955008360846,26483730050.165073,396251407.88980186
954,107.70169639587402,0.3651968655770819,45.649608197135244,27389764918.281143,382915611.6139033
957,108.11921310424805,0.3804289690287299,47.55362112859124,28532172677.154743,374202035.7465574
960,108.68265700340271,0.40098487874201344,50.12310984275168,30073865905.65101,374948965.9550669
963,108.78785157203674,0.4048226522247208,50.6028315280901,30361698916.854057,386377413.2311058
966,109.34918737411499,0.42530165303325856,53.16270662915732,31897623977.494392,403428801.0644325
969,109.72454738616943,0.4389957697489499,54.87447121861874,32924682731.17124,415231142.8746015
972,110.38839268684387,0.46321458565009704,57.90182320626213,34741093923.75728,413146380.10165095
975,110.95538568496704,0.4838999757927003,60.487496974087534,36292498184.45252,399525770.18618894
978,111.17836785316467,0.49203494952126403,61.504368690158,36902621214.0948,385785675.0646472
981,111.46540904045105,0.5025069641063982,62.813370513299766,37688022307.97986,381176400.4340141
984,112.0399842262268,0.5234689723205602,65.43362154007002,39260172924.042015,385990597.6718322
987,112.43138074874878,0.537748142955162,67.21851786939524,40331110721.63715,395668316.7841866
990,112.89195442199707,0.5545510772984239,69.31888466230298,41591330797.38179,406943287.8290058
993,113.22213220596313,0.5665968279520758,70.82460349400947,42494762096.40568,417672650.207335
996,113.7892656326294,0.587287341295866,73.41091766198326,44046550597.18996,424310791.67012703
999,114.32324981689453,0.6067684834229591,75.84606042786987,45507636256.72193,423476309.8246683
1002,114.77131056785583,0.6231149135762446,77.88936419703059,46733618518.218346,415586537.18788683
1005,115.1777606010437,0.6379432757214482,79.74290946518101,47845745679.10861,405355583.05435646
1008,115.66997027397156,0.6559003742220968,81.9875467777621,49192528066.65726,398965601.2842909
1011,116.06252479553223,0.6702217916956886,83.77772396196107,50266634377.17665,400333658.0298753
1014,116.35060572624207,0.680731738845129,85.09146735564113,51054880413.38468,408008601.1860336
1017,116.94824981689453,0.7025353611517348,87.81692014396685,52690152086.38011,415289745.1864005
1020,117.4228401184082,0.7198496588189053,89.98120735236317,53988724411.4179,415386218.7541051
1023,117.94226717948914,0.7387997189513072,92.34996486891342,55409978921.348045,407409816.4004564
1026,118.35002851486206,0.7536759208359477,94.20949010449347,56525694062.696075,396523944.17173326
1029,118.67611908912659,0.7655725593708418,95.69656992135523,57417941952.81313,388270168.8250801
1032,119.15913701057434,0.7831943186943063,97.8992898367883,58739573902.072975,383984739.0611939
1035,119.58712410926819,0.7988084094181567,99.8510511772696,59910630706.36175,382079387.69016945
1038,119.96410608291626,0.8125616995424643,101.57021244280804,60942127465.68482,382424931.5224898
1041,120.49923419952393,0.8320845753186153,104.01057191482693,62406343148.89615,387484896.23165274
1044,120.70217251777649,0.8394882968845493,104.93603711056866,62961622266.341194,398048186.0798055
1047,121.1743643283844,0.8567150913192224,107.0893864149028,64253631848.94168,409070197.2525918
1050,121.78133034706116,0.8788588019844181,109.85735024805227,65914410148.83136,412768563.6932496
1053,122.30821347236633,0.8980808788752586,112.26010985940734,67356065915.644394,406955616.1904447
1056,122.63260698318481,0.9099156040891868,113.73945051114836,68243670306.68901,398055636.6058624
1059,123.08964443206787,0.9265895277023888,115.8236909627986,69494214577.67915,394343640.85649455
1062,123.32751631736755,0.9352677173231919,116.90846466539898,70145078799.2394,397886864.13108027
1065,123.98741912841797,0.9593427008731883,119.91783760914855,71950702565.48912,404557755.9508332
1068,124.42942953109741,0.9754683984687118,121.93354980858896,73160129885.1534,409911948.05279803
1071,124.73798084259033,0.9867251587433007,123.34064484291261,74004386905.74754,412271382.1434988
1074,125.28964567184448,1.0068513371244239,125.85641714055298,75513850284.3318,411302184.6223749
1077,125.82754325866699,1.0264752504302657,128.30940630378322,76985643782.26993,407486410.761127
1080,126.09868550300598,1.0363672299200628,129.54590374000784,77727542244.0047,403705168.8186641
1083,126.7681519985199,1.0607911217369745,132.5988902171218,79559334130.27309,404382093.87153685
1086,126.86813879013062,1.0644389018690417,133.05486273363022,79832917640.17813,410846073.6497933
1089,127.49595880508423,1.0873434209577049,135.9179276197131,81550756571.82787,418349219.0094551
1092,128.02298212051392,1.1065706123515977,138.3213265439497,82992795926.36983,419792723.29235315
1095,128.47603368759155,1.1230991205531804,140.38739006914759,84232434041.48853,412901722.5827899
1098,129.0034728050232,1.142341481493542,142.79268518669275,85675611112.01564,402483041.8966634
1101,129.2278995513916,1.1505291572186964,143.81614465233704,86289686791.40224,395293398.75472695
1104,129.78147530555725,1.1707250511473808,146.34063139342263,87804378836.05356,393940751.7973122
1107,130.1294023990631,1.1834183431177823,147.9272928897228,88756375733.83368,396259293.51430357
1110,130.68171429634094,1.203568128235784,150.446016029473,90267609617.68379,399241567.3338977
1113,130.9862449169159,1.2146782031711247,151.8347753963906,91100865237.83437,402326888.3796016
1116,131.5822262763977,1.2364211646881245,154.55264558601553,92731587351.60933,407141713.0863453
1119,131.8802056312561,1.2472922322852382,155.91152903565478,93546917421.39285,414410972.4138732
1122,132.34114694595337,1.2641085791518112,158.0135723939764,94808143436.38585,421251295.3305099
1125,132.8814079761505,1.2838187170643873,160.47733963304842,96286403779.82904,422783042.4846207
1128,133.44415473937988,1.3043491934325593,163.0436491790699,97826189507.44196,417715127.8256208
1131,133.82032227516174,1.3180727707296092,164.75909634120114,98855457804.72069,411092499.8489696
1134,134.25422382354736,1.3339026360745891,166.73782950932366,100042697705.5942,409560626.6181275
1137,134.53174018859863,1.3440271601887221,168.00339502359026,100802037014.15416,415030191.8866435
1140,135.1683132648468,1.367251013887194,170.90637673589924,102543826041.53955,426071394.4267453
1143,135.74486231803894,1.3882850339564106,173.5356292445513,104121377546.7308,444339401.9039749
1146,135.98605465888977,1.3970843624956024,174.6355453119503,104781327187.17018,472394984.2148993
1149,136.45094656944275,1.4140448374498973,176.75560468123717,106053362808.7423,501990706.0546153
1152,136.81764435768127,1.4274229335450026,178.4278666931253,107056720015.87518,512910183.9906068
1155,138.62612462043762,1.4934010319062563,186.67512898828204,112005077392.96922,491856978.0201731
1158,138.26431250572205,1.4802011779821587,185.02514724776984,111015088348.66191,447446346.8089802
1161,138.65770316123962,1.4945530998132424,186.8191374766553,112091482485.99318,399708364.38904566
1164,139.33468103408813,1.5192510263557835,189.90637829447294,113943826976.68376,361937871.8300394
1167,139.7680642604828,1.535061981956484,191.8827477445605,115129648646.7363,339607750.7497655
1170,139.82831501960754,1.537260087511595,192.15751093894934,115294506563.36963,336992993.67811525
1173,140.13378620147705,1.5484044765873137,193.55055957341423,116130335744.04854,353703176.75274277
1176,140.5533425807953,1.5637109925791224,195.4638740723903,117278324443.43417,379197960.02735114
1179,141.1909351348877,1.586972039500473,198.37150493755914,119022902962.53546,399414142.2983078
1182,141.61562943458557,1.60246600028953,200.30825003619125,120184950021.71475,408624836.77829826
1185,142.0403323173523,1.6179602742114267,202.24503427642833,121347020565.857,411440160.580173
1188,142.40721559524536,1.6313451374551289,203.9181421818911,122350885309.13467,414808220.1855537
1191,142.9565098285675,1.6513848302854843,206.42310378568556,123853862271.41133,421091028.2619239
1194,143.3586893081665,1.6660573914465433,208.2571739308179,124954304358.49075,427941522.7077621
1197,143.83843970298767,1.6835599428374655,210.4449928546832,126266995712.8099,432005649.09102523
1200,144.43652415275574,1.7053796305983877,213.17245382479845,127903472294.87907,431824905.76147187
1203,144.79921770095825,1.7186116415255213,214.82645519069018,128895873114.4141,428238691.62743783
1206,145.2648470401764,1.7355990198096487,216.94987747620607,130169926485.72366,423257895.4498582
1209,145.83193635940552,1.756287923998567,219.53599049982085,131721594299.89252,419147766.39850235
1212,146.2232916355133,1.77056558985591,221.32069873198876,132792419239.19325,417388515.57712287
1215,146.53417992591858,1.78190760924431,222.73845115553877,133643070693.32326,416855253.5536822
1218,147.19232869148254,1.8059186006192087,225.7398250774011,135443895046.44066,414473267.5729282
1221,147.60621547698975,1.8210182749739607,227.62728437174508,136576370623.04706,410089049.4423201
1224,148.15352368354797,1.8409855123444054,230.1231890430507,138073913425.8304,408804457.6162779
1227,148.29325771331787,1.8460833758657476,230.76042198321846,138456253189.93106,414696612.09063303
1230,148.8130202293396,1.8650456742733108,233.13070928416386,139878425570.49832,423453748.0260814
1233,149.47603058815002,1.8892340293076384,236.15425366345482,141692552198.07288,426082627.52672374
1236,149.98974227905273,1.9079755777611707,238.49694722014632,143098168332.0878,420378230.7342032
1239,150.3763210773468,1.922078985193081,240.2598731491351,144155923889.48108,414305193.6171549
1242,150.625314950943,1.9311629340875196,241.39536676094,144837220056.56396,416211023.821961
1245,151.2239968776703,1.953004419373356,244.12555242166954,146475331453.00168,424863240.2623381
1248,151.60580492019653,1.9669337771350603,245.86672214188255,147520033285.12952,431738305.73177725
1251,152.3263657093048,1.9932217226537965,249.15271533172455,149491629199.03476,431530011.0768507
1254,152.73217749595642,2.008026799893096,251.00334998663698,150602009991.98218,427041808.112915
1257,152.9865071773529,2.0173054130363703,252.1631766295463,151297905977.72778,423443359.9681603
1260,153.51822590827942,2.0367039054899854,254.58798818624817,152752792911.7489,421924001.52737284
1263,154.23517775535583,2.0628601873476566,257.85752341845705,154714514051.07425,421690929.4356546
1266,154.48329830169678,2.07191227497563,258.9890343719537,155393420623.17224,423783184.57816005
1269,154.77506470680237,2.0825566778872915,260.31958473591146,156191750841.54688,428088883.9066018
1272,155.48425221443176,2.1084296962986895,263.5537120373362,158132227222.40173,430147180.9508617
1275,156.04788899421692,2.1289926428027375,266.1240803503422,159674448210.20532,426298883.2982098
1278,156.37323665618896,2.140862177950707,267.6077722438384,160564663346.30304,419946938.40870535
1281,156.8467538356781,2.1581373253147493,269.7671656643437,161860299398.6062,418275504.908136
1284,157.20998549461365,2.1713889679313207,271.4236209914151,162854172594.84906,423574784.27321494
1287,157.69713258743286,2.189161370245205,273.64517128065063,164187102768.39038,430735229.0015981
1290,158.30508971214294,2.211341239055281,276.41765488191015,165850592929.14606,433575601.88933074
1293,158.7582709789276,2.2278744790420006,278.48430988025007,167090585928.15005,432024687.6278898
1296,159.2185480594635,2.244666592906015,280.5833241132519,168349994467.9511,431665510.97484684
1299,159.58826231956482,2.258154737798094,282.2693422247617,169361605334.85703,436288806.241873
1302,160.01206731796265,2.2736162545456784,284.20203181820983,170521219090.92587,442558661.3972875
