Time (min),Mean Intensity (A.U.),Protein Concentration (ng/µL),Protein Concentration (nM),Number of Protein Molecules,Rate of Change of Number of Protein Molecules (PM/min)
1872,249.60325169563293,5.542137397354269,692.7671746692836,415660304801.5702,431482193.7431482
1875,250.0043601989746,5.55677088649541,694.5963608119262,416757816487.15576,427627226.8488751
1878,250.6400191783905,5.579961391546427,697.4951739433035,418497104365.98206,423769394.5587536
1881,251.08233857154846,5.596098361924189,699.5122952405236,419707377144.3142,420581897.02838546
1884,251.46971774101257,5.610230968993425,701.2788711241781,420767322674.5069,420885185.6857717
1887,251.84177088737488,5.62380444258439,702.9755553230489,421785333193.8292,426346774.1613313
1890,252.48815083503723,5.647386076646909,705.9232595808636,423553955748.5182,434762032.91054
1893,252.77487015724182,5.657846348750546,707.2307935938182,424338476156.29095,442440903.71945405
1896,253.49376273155212,5.684073433422584,710.509179177823,426305507506.6938,448312406.76306075
1899,253.90560698509216,5.6990985908595615,712.3873238574453,427432394314.4671,453765312.4736113
1902,254.20890736579895,5.7101637834211765,713.7704729276471,428262283756.58826,458177535.51930684
1905,254.9551067352295,5.737387091525384,717.173386440673,430304031864.40375,457098027.91657585
1908,255.44352650642395,5.755205924480925,719.4007405601157,431640444336.0694,447448344.85881484
1911,256.01392793655396,5.776015663153527,722.0019578941908,433201174736.5145,433084201.2179191
1914,256.30391216278076,5.786595047510226,723.3243809387782,433994628563.26697,421928124.4350172
1917,256.70585107803345,5.801258832253632,725.157354031704,435094412419.0224,417990296.50226617
1920,257.3053386211395,5.823129708535752,727.891213566969,436734728140.1814,418821682.74058187
1923,257.72493171691895,5.838437564040264,729.804695505033,437882817303.01984,420455807.4568261
1926,258.13834023475647,5.853519789937324,731.6899737421654,439013984245.2993,422179881.06476057
1929,258.69500041007996,5.873828211631298,734.2285264539122,440537115872.3473,425850960.7837942
1932,259.06113719940186,5.887185841016059,735.8982301270074,441538938076.20447,432144261.01055044
1935,259.45657896995544,5.901612592897757,737.7015741122196,442620944467.3317,438742673.32872254
1938,260.22287940979004,5.92956924071686,741.1961550896074,444717693053.7645,442514928.1663103
1941,260.52815890312195,5.940706636492487,742.5883295615608,445552997736.9365,442239024.0954173
1944,260.9898409843445,5.957550008462774,744.6937510578466,446816250634.70807,437910407.5273709
1947,261.56597924232483,5.978569041646345,747.3211302057932,448392678123.4759,429309564.98561025
1950,262.0566596984863,5.996470350312676,749.5587937890846,449735276273.4507,417868644.3224082
1953,262.5287113189697,6.013692030244297,751.7115037805371,451026902268.32227,408601228.78123736
1956,262.73548793792725,6.021235783076629,752.6544728845787,451592683730.7472,407456835.1646356
1959,263.37051916122437,6.044403385939658,755.5504232424573,453330253945.47437,416756617.267114
1962,263.76711678504944,6.058872306377136,757.359038297142,454415422978.2852,433383780.0641912
1965,264.069105386734,6.069889641803044,758.7362052253806,455241723135.22833,450067408.74659014
1968,264.86630034446716,6.098973402581417,762.3716753226771,457423005193.60626,459232981.08736324
1971,265.3614583015442,6.117038062212589,764.6297577765737,458777854665.9442,458195479.68644094
1974,265.79681158065796,6.132920890498192,766.615111312274,459969066787.3644,450477579.81956524
1977,266.2574563026428,6.149726416885518,768.7158021106899,461229481266.4139,440995865.51844895
1980,266.76701951026917,6.168316617799741,771.0395772249676,462623746334.9806,431520393.87662
1983,267.2727494239807,6.186766970108388,773.3458712635485,464007522758.1291,421909784.011045
1986,267.7155508995056,6.202921528113993,775.3651910142491,465219114608.5495,413658429.21199304
1989,268.119647026062,6.21766401357784,777.2080016972301,466324801018.338,409961648.41433567
1992,268.548357963562,6.23330451183786,779.1630639797324,467497838387.8395,412677605.16259307
1995,268.98876452445984,6.249371697082985,781.1714621353732,468702877281.2239,420499960.93598247
1998,269.48651456832886,6.2675309228318214,783.4413653539777,470064819212.3866,429924132.4048544
2001,269.96347188949585,6.284931575577743,785.6164469472179,471369868168.33075,436972417.8100432
2004,270.41444754600525,6.30138434912273,787.6730436403413,472603826184.2048,438053350.0352231
2007,271.0036036968231,6.322878309145027,790.3597886431285,474215873185.8771,431066355.91323876
2010,271.42671179771423,6.3383144012456345,792.2893001557043,475373580093.42255,417765297.4898778
2013,271.9713144302368,6.358182932186419,794.7728665233024,476863719913.98145,405016848.04551697
2016,272.27042508125305,6.369095272431466,796.1369090539332,477682145432.3599,401482739.33320266
2019,272.6447319984436,6.382750969487322,797.8438711859153,478706322711.5492,410690570.56052613
2022,273.07669615745544,6.398510153791817,799.8137692239771,479888261534.3863,427171524.6999833
2025,273.63660049438477,6.418936931001158,802.3671163751447,481420269825.08685,441026688.47097856
2028,274.2524094581604,6.441403255472848,805.1754069341061,483105244160.4636,446795619.75356346
2031,274.6998825073242,6.4577282447247315,807.2160305905915,484329618354.35486,446423329.28624904
2034,274.9980640411377,6.468606688339853,808.5758360424817,485145501625.489,443651025.96312237
2037,275.6751699447632,6.49330928578059,811.6636607225737,486998196433.54425,439036643.587453
2040,276.17626881599426,6.511590685525815,813.9488356907268,488369301414.4361,432443596.3089849
2043,276.6208734512329,6.527811027522214,815.9763784402767,489585827064.166,426805931.2262497
2046,276.9438433647156,6.5395938161753815,817.4492270219226,490469536213.1536,425500026.88845813
2049,277.468581199646,6.558737627252503,819.8422034065629,491905322043.93774,427343752.82572484
2052,278.02677941322327,6.57910216061177,822.3877700764713,493432662045.88275,427308808.6363571
2055,278.4139151573181,6.593225886885739,824.1532358607175,494491941516.4304,422099055.4299284
2058,279.00238013267517,6.614694631016287,826.8368288770359,496102097326.22156,413664069.8267596
2061,279.3427846431732,6.627113479448741,828.3891849310926,497033510958.6556,407443793.24773514
2064,279.7682399749756,6.642635204682939,830.3294005853675,498197640351.22046,407540440.3655771
2067,280.1922912597656,6.658105706603403,832.2632133254255,499357927995.25525,413080776.4175856
2070,280.6470458507538,6.674696345579313,834.3370431974141,500602225918.4484,418873170.72385335
2073,281.2266240119934,6.6958408754466285,836.9801094308286,502188065658.49713,419767234.8032736
2076,281.60387992858887,6.709604159727411,838.7005199659266,503220311979.55585,415055009.24440384
2079,282.1156258583069,6.72827399206246,841.0342490078075,504620549404.6845,409424668.7711171
2082,282.626638174057,6.746917060237829,843.3646325297286,506018779517.83716,409127226.3182306
2085,282.71482586860657,6.750134378394442,843.7667972993053,506260078379.5831,415575251.4518862
2088,283.45680689811707,6.777203790405948,847.1504738007435,508290284280.44604,422944585.48620105
2091,283.9286558628082,6.794418076923292,849.3022596154116,509581355769.2469,423939646.66859305
2094,284.4572157859802,6.81370132779367,851.7126659742088,511027599584.5253,417297241.9754669
2097,284.7821145057678,6.825554484354483,853.1943105443104,511916586326.58624,408033284.66437066
2100,285.21820855140686,6.841464337743802,855.1830422179752,513109825330.7851,402133183.103369
2103,285.79897832870483,6.862652340887064,857.831542610883,514698925566.5298,402957791.5170573
2106,286.0465462207794,6.871684266239399,858.9605332799248,515376319967.9549,410105823.24691296
2109,286.4337902069092,6.885811941466405,860.7264926833006,516435895609.98035,418914169.8800316
2112,287.1662380695343,6.912533558572204,864.0666948215255,518440016892.9153,423379883.5582294
2115,287.5512909889221,6.926581297943679,865.82266224296,519493597345.77594,422092007.41960084
2118,288.05006408691406,6.944777847387411,868.0972309234264,520858338554.0558,419165874.4895469
2121,288.2509379386902,6.952106251807202,869.0132814759003,521407968885.54016,418010646.5601629
2124,289.0003786087036,6.979447811049164,872.4309763811455,523458585828.6873,417313592.84490895
2127,289.3466739654541,6.992081572987437,874.0101966234297,524406117974.05774,414682700.68107986
2130,289.9045932292938,7.012435929529405,876.5544911911758,525932694714.70544,411093537.21488374
2133,290.088898897171,7.019159883190478,877.3949853988099,526436991239.2859,409776581.52059937
2136,290.84221363067627,7.046642778419005,880.8303473023756,528498208381.42535,412835910.0541345
2139,291.0899670124054,7.055681470919936,881.960183864992,529176110318.9952,419786862.60608935
2142,291.5244460105896,7.071532403146537,883.9415503933171,530364930235.99023,427433115.20827746
2145,292.1192648410797,7.093232952559992,886.6541190699991,531992471441.99945,431374979.8560076
2148,292.6460978984833,7.112453202842599,889.0566503553249,533433990213.19495,429660381.9721942
2151,293.0683648586273,7.127858607924892,890.9823259906115,534589395594.3669,424560027.28073776
2154,293.4139106273651,7.140465022928475,892.5581278660594,535534876719.6356,419675040.1688441
2157,294.0373842716217,7.163210975026241,895.4013718782802,537240823126.96814,416719262.96488816
2160,294.42142629623413,7.1772218343076775,897.1527292884597,538291637573.0758,415683506.2672168
2163,294.81180596351624,7.191463907398879,898.93298842486,539359793054.91595,415785195.22407925
2166,295.35991883277893,7.211460500973069,901.4325626216336,540859537572.98016,415027082.90910983
2169,295.74572134017944,7.225535587279233,903.1919484099042,541915169045.9425,410696286.9118818
