Time (min),Mean Intensity (A.U.),Protein Concentration (nanograms per microliter),Protein Concentration (nM),Number of Protein Molecules,Rate of Change of Number of Protein Molecules (PM per min)
342.0,100.09999537467957,3.651910101980172,47.42740392182042,56912884706.184494,154004085.12386894
344.0,100.55588698387146,3.6685422223592408,47.643405485184935,57172086582.22193,150529598.37616348
346.0,101.15901827812195,3.6905460322300536,47.92916924974096,57515003099.68915,159613195.73041344
348.0,101.6788158416748,3.70950960926338,48.17544947095299,57810539365.143585,170793969.7802868
350.0,102.36060738563538,3.734383151140327,48.49848248234192,58198178978.810295,162795120.16131592
352.0,102.82413053512573,3.7512936901047844,48.7180998714907,58461719845.78885,135213539.17531586
354.0,103.31187701225281,3.769087959528658,48.949194279592966,58739033135.51156,152130879.74201775
356.0,103.89441895484924,3.7903406159052357,49.225202803964116,59070243364.75692,150335822.01481438
358.0,104.36953663825989,3.8076741538457943,49.45031368630902,59340376423.570816,136557773.7239647
360.0,104.85514569282532,3.8253904444943867,49.680395383043994,59616474459.65278,181149618.4635887
362.0,105.64398097991943,3.8541692225847815,50.054145747854314,60064974897.42517,173321704.13083458
364.0,106.07451820373535,3.8698763485546346,50.25813439681344,60309761276.17612,161733789.61135674
366.0,106.78182888031006,3.8956808952516964,50.593258379892156,60711910055.8706,173347222.42396355
368.0,107.29407024383545,3.9143688023101184,50.835958471559984,61003150165.87197,139549141.23288918
370.0,107.76360082626343,3.931498508168138,51.05842218400179,61270106620.802155,157461356.34314728
372.0,108.40186023712158,3.954783883771526,51.360829659370474,61632995591.24456,165032867.7465515
374.0,108.92465877532959,3.973856944223087,51.60853174315698,61930238091.78836,177849388.10798073
376.0,109.6530864238739,4.000431893385907,51.95366095306374,62344393143.67648,188272170.57439423
378.0,110.24921250343323,4.022180134670514,52.23610564507161,62683326774.08594,172850954.31700897
380.0,110.86914706230164,4.044796971660607,52.5298308007871,63035796960.94452,151075988.0708084
382.0,111.31207942962646,4.060956304942022,52.73969227197431,63287630726.36917,137940709.32274437
384.0,111.83960318565369,4.080201753720111,52.989633165196246,63587559798.2355,160519179.85847092
386.0,112.44138216972351,4.102156227772363,53.274756204835874,63929707445.803055,189195065.23135567
388.0,113.170649766922,4.128761820462826,53.620283382634106,64344340059.16092,187017571.99562263
390.0,113.75710940361023,4.150157404584572,53.89814811148795,64677777733.785545,156752469.682312
392.0,114.27345252037048,4.168994954347952,54.14279161490848,64971349937.89017,155472895.03178215
394.0,114.850909948349,4.190062114309397,54.41639109492723,65299669313.912674,156478478.44735718
396.0,115.37432765960693,4.2091577638161075,54.664386543066335,65597263851.679596,159065586.03769493
398.0,115.96998620033264,4.2308889480590715,54.94660971505288,65935931658.06345,135138644.84887695
400.0,116.32507038116455,4.243843349327319,55.114848692562596,66137818431.0751,130842286.06280518
402.0,116.89050269126892,4.264471801481858,55.382750668595556,66459300802.314674,182412553.6958866
404.0,117.60839986801147,4.2906625714425966,55.722890538215545,66867468645.85865,192236960.9940033
406.0,118.24294996261597,4.313812621470319,56.02354053857557,67228248646.29069,147593198.55840492
408.0,118.64676427841187,4.328544825739254,56.21486786674355,67457841440.09227,167153359.9609928
410.0,119.41892623901367,4.356715317193641,56.58071840511223,67896862086.13466,157159677.92959213
412.0,119.75243186950684,4.368882476407849,56.73873345984219,68086480151.81064,165110202.06915092
414.0,120.58052825927734,4.399093602391389,57.13108574534271,68557302894.41126,144890326.70602798
